,0
0,"@Test public void testAdd() { Calculator calculator = new Calculator(); int result = calculator.add(2, 3); assertEquals(5, result); }"
1,NULL
2,for(int i = 0 i < arr.length i++) System.out.println(arr[i]);
3,git commit -m 'Initial commit'
4,NULL
5,"class App extends React.Component render() return <h1>Hello, world!</h1>;"
6,var input = document.createElement('input'); input.type = 'file'; input.onchange = e => { let file = e.target.files[0]; }; document.body.appendChild(input);
7,NULL
8,"public class HelloWorld { public static void main(String[] args) { System.out.println('Hello, World!'); } }"
9,NULL
10,"#include <iostream>
using namespace std;
int main() { cout << 'Hello, World!' << endl; return 0; }"
11,"#include <stdio.h>
int main()
{
printf('Hello, World!');
return 0;
}"
12,NULL
13,"def test_add():
    assert add(2, 3) == 5"
14,NULL
15,"function greet(name) {
	alert('Hello, ' + name);
}"
16,"function greet(name) { return 'Hello, ' + name; }"
17,"def test_add(): assert add(2, 3) == 5"
18,NULL
19,git add .
20,"public class HelloWorld { public static void main(String[] args) { System.out.println('Hello, World'); } }"
21,fetch('https://api.example.com/data') .then(response => response.json()) .then(data => console.log(data))
22,NULL
23,class Dog { public: void bark() { cout << 'Woof!'; } };
24,NULL
25,"package main
import 'fmt'
func main() { 
    fmt.Println('Hello, world') 
}"
26,NULL
27,"version: '3' 
services: 
  web: 
    build: . 
    ports: 
      - '5000:5000'"
28,NULL
29,<!DOCTYPE html> <html> <head> <title>Page Title</title> </head> <body> <h1>This is a Heading</h1> <p>This is a paragraph.</p> </body> </html>
30,NULL
31,"print('Hello, World!')"
32,NULL
33,"public class HelloWorld { public static void main(String[] args) { System.out.println('Hello, World!'); } }"
34,"function add(a, b) { return a + b; }"
35,NULL
36,"#include <iostream> using namespace std; int main() { cout << 'Hello, World!'; return 0; }"
37,NULL
38,"puts 'Hello, World!'"
39,NULL
40,"print('Hello, World!')"
41,NULL
42,"fun main(args: Array<String>) { println('Hello, World!') }"
43,NULL
44,"int add(int a, int b) { return a + b; }"
45,NULL
46,"using System
class Program
static void Main
Console.WriteLine Hello, world!"
47,NULL
48,NULL
49,NULL
50,"print('Hello, world!')"
51,NULL
52,NULL
53,NULL
54,"function add(x, y) {
   return x + y;
}"
55,NULL
56,NULL
57,"package main
import fmt
func main
fmt.Println Hello, world!"
58,NULL
59,"fn main, println Hello, world!"
60,NULL
61,"The code in the paragraph is:

"
62,NULL
63,"#!/bin/bash
 for i in {1..5}; do 
 echo $i 
 done"
64,NULL
65,NULL
66,"fun main() {
 println(""Hello, World!"")
 }"
67,NULL
68,NULL
69,"function add(a, b) { 
 return a + b; 
 }"
70,NULL
71,"let greeting = ""Hello, World!""
print(greeting)"
72,NULL
73,"void sort(int arr[], int n) {
 for (int i = 0; i < n; i++)
 for (int j = 0; j < n-i-1; j++)
 if (arr[j] > arr[j+1])
 swap(&arr[j], &arr[j+1]);
 }"
74,NULL
