,0
0,"@Test public void testAdd() { Calculator calculator = new Calculator(); int result = calculator.add(2, 3); assertEquals(5, result); }"
1,NULL
2,for(int i = 0 i < arr.length i++) System.out.println(arr[i]);
3,git commit -m 'Initial commit'
4,NULL
5,"class App extends React.Component render() return <h1>Hello, world!</h1>"
6,var input = document.createElement('input'); input.type = 'file'; input.onchange = e => { let file = e.target.files[0]; }; document.body.appendChild(input);
7,NULL
8,"public class HelloWorld { public static void main(String[] args) { System.out.println('Hello, World!'); } }"
9,NULL
10,"#include <iostream> using namespace std; int main() { cout << 'Hello, World!' << endl; return 0; }"
11,"#include <stdio.h>
int main()
{
printf('Hello, World!');
return 0;
}"
12,NULL
13,"def test_add():
	assert add(2, 3) == 5"
14,NULL
15,"function greet(name) {
	alert('Hello, ' + name);
}"
16,"function greet(name) { return 'Hello, ' + name; }"
17,"def test_add(): 
assert add(2, 3) == 5"
18,NULL
19,"```python
git add .
```"
