,0
0,NULL
1,NULL
2,"fun main(args: Array<String>) { println('Hello, World!') }"
3,NULL
4,"int add(int a, int b) { return a + b; }"
5,NULL
6,"using System;
class Program {
    static void Main() {
        Console.WriteLine(""Hello, world!"");
    }
}"
7,NULL
8,NULL
9,NULL
10,NULL
11,NULL
12,"pipeline, stages, build, test, deploy"
13,NULL
14,"function add(x, y) {
  return x + y;
}"
15,NULL
16,NULL
17,"package main
import fmt
func main
fmt.Println Hello, world!"
18,NULL
19,"fn main, println Hello, world!"
